Game Details,,,,,,,,,,,Match Details,,,,,,,,Overall Standings,,,,,,,,,,,,,Share the link ~~~>,,https://bit.ly/3sBKa1R,,
Stage,Event,Game,Mode,Map ,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,,Stage,Event/Link,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,,Rank,Team,Total Pts,Stage Pts,Major Pts,Major Wins,W,L,W%,GW,GL,GW%,,,,,,
1,Wk 2,3,Control,Gavutu,Royal Ravens,3,Guerrillas,1,Royal Ravens,,2,Wk 3,Subliners,3,Ultra,1,Subliners,,1,FaZe,14,7,66.67%,55,39,58.51%,190,,,,,,,,,
1,Wk 2,4,Hardpoint,Berlin,Royal Ravens,159,Guerrillas,250,Guerrillas,,2,Major,Mutineers,3,Royal Ravens,0,Mutineers,,2,OpTic,11,5,68.75%,40,28,58.82%,135,1,,,,,,,,
1,Wk 2,1,Hardpoint,Bocage,Ultra,221,Mutineers,220,Ultra,,2,Major,Guerrillas,0,Breach,3,Breach,,3,Thieves,10,5,66.67%,37,29,56.06%,125,,,,,,,,,
1,Wk 2,2,SnD,Tuscan,Ultra,6,Mutineers,5,Ultra,,2,Major,FaZe,3,Subliners,0,FaZe,,4,Ultra,6,8,42.86%,28,29,49.12%,90,,,,,,,,,
1,Wk 2,3,Control,Tuscan,Ultra,3,Mutineers,2,Ultra,,2,Major,Surge,3,OpTic,0,Surge,,5,Surge,5,5,50.00%,25,23,52.08%,85,1,,,,,,,,
1,Wk 3,1,Hardpoint,Gavutu,Thieves,250,Legion,57,Thieves,,2,Major,Legion,1,Royal Ravens,3,Royal Ravens,,6,Guerrillas,7,5,58.33%,25,26,49.02%,75,1,,,,,,,,
1,Wk 3,2,SnD,Berlin,Thieves,3,Legion,6,Legion,,2,Major,Ultra,1,Guerrillas,3,Guerrillas,,7,Breach,5,7,41.67%,22,28,44.00%,70,,,,,,,,,
1,Wk 3,3,Control,Gavutu,Thieves,3,Legion,2,Thieves,,2,Major,Thieves,3,Subliners,2,Thieves,,8,Mutineers,4,7,36.36%,20,26,43.48%,70,,,,,,,,,
1,Wk 3,4,Hardpoint,Bocage,Thieves,250,Legion,180,Thieves,,2,Major,Rokkr,1,OpTic,3,OpTic,,9,Royal Ravens,4,7,36.36%,18,26,40.91%,60,,,,,,,,,
1,Wk 3,1,Hardpoint,Tuscan,FaZe,250,Rokkr,163,FaZe,,2,Major,Royal Ravens,0,Guerrillas,3,Guerrillas,,10,Subliners,3,6,33.33%,17,23,42.50%,50,,,,,,,,,
